date,time,open,high,low,close,volume
2019-01-22,03:00:00,62.102,62.247,62.09,62.239,360
2019-01-22,03:15:00,62.234,62.245,62.12,62.15,383
2019-01-22,03:30:00,62.147,62.21,62.13,62.15,203
2019-01-22,03:45:00,62.154,62.205,62.13,62.17,175
2019-01-22,04:00:00,62.168,62.175,62.115,62.12,127
2019-01-22,04:15:00,62.115,62.175,62.115,62.115,138
2019-01-22,04:30:00,62.118,62.15,62.115,62.13,98
2019-01-22,04:45:00,62.135,62.17,62.13,62.15,131
2019-01-22,05:00:00,62.145,62.15,62.081,62.091,78
2019-01-22,05:15:00,62.088,62.116,62.058,62.101,227
2019-01-22,05:30:00,62.098,62.101,61.861,61.931,875
